timestamp,http_code,time_total,result
2026-08-27T14:34:47.3NZ,200,0.011912,success
2026-08-27T14:34:47.3NZ,200,0.004959,success
2026-08-27T14:34:47.3NZ,200,0.019029,success
2026-08-27T14:34:47.3NZ,200,0.005356,success
2026-08-27T14:34:47.3NZ,200,0.004336,success
2026-08-27T14:34:47.3NZ,200,0.007277,success
2026-08-27T14:34:48.3NZ,200,0.010039,success
2026-08-27T14:34:48.3NZ,200,0.012395,success
2026-08-27T14:34:48.3NZ,200,0.008055,success
2026-08-27T14:34:48.3NZ,200,0.007994,success
2026-08-27T14:34:48.3NZ,200,0.007076,success
2026-08-27T14:34:48.3NZ,200,0.013919,success
2026-08-27T14:34:48.3NZ,200,0.007270,success
2026-08-27T14:34:49.3NZ,200,0.007426,success
2026-08-27T14:34:49.3NZ,200,0.007470,success
2026-08-27T14:34:49.3NZ,200,0.009185,success
2026-08-27T14:34:49.3NZ,200,0.010779,success
2026-08-27T14:34:49.3NZ,200,0.004647,success
2026-08-27T14:34:49.3NZ,200,0.005477,success
2026-08-27T14:34:49.3NZ,200,0.005306,success
2026-08-27T14:34:50.3NZ,200,0.006267,success
2026-08-27T14:34:50.3NZ,200,0.013972,success
2026-08-27T14:34:50.3NZ,200,0.006520,success
2026-08-27T14:34:50.3NZ,200,0.007027,success
2026-08-27T14:34:50.3NZ,200,0.005807,success
2026-08-27T14:34:50.3NZ,200,0.008220,success
2026-08-27T14:34:50.3NZ,200,0.009989,success
2026-08-27T14:34:50.3NZ,200,0.010513,success
2026-08-27T14:34:51.3NZ,200,0.010484,success
2026-08-27T14:34:51.3NZ,200,0.007250,success
2026-08-27T14:34:51.3NZ,200,0.010337,success
2026-08-27T14:34:51.3NZ,200,0.010882,success
2026-08-27T14:34:51.3NZ,200,0.013179,success
2026-08-27T14:34:51.3NZ,200,0.005519,success
2026-08-27T14:34:52.3NZ,200,0.006330,success
2026-08-27T14:34:52.3NZ,200,0.005153,success
2026-08-27T14:34:52.3NZ,200,0.006906,success
2026-08-27T14:34:52.3NZ,200,0.005713,success
2026-08-27T14:34:52.3NZ,200,0.005511,success
2026-08-27T14:34:52.3NZ,200,0.004310,success
2026-08-27T14:34:52.3NZ,200,0.005782,success
2026-08-27T14:34:52.3NZ,200,0.004549,success
2026-08-27T14:34:53.3NZ,200,0.006215,success
2026-08-27T14:34:53.3NZ,200,0.006117,success
2026-08-27T14:34:53.3NZ,200,0.005250,success
2026-08-27T14:34:53.3NZ,200,0.004968,success
2026-08-27T14:34:53.3NZ,200,0.006657,success
2026-08-27T14:34:53.3NZ,200,0.005485,success
2026-08-27T14:34:53.3NZ,200,0.005981,success
2026-08-27T14:34:54.3NZ,200,0.005239,success
2026-08-27T14:34:54.3NZ,200,0.011882,success
2026-08-27T14:34:54.3NZ,200,0.011746,success
2026-08-27T14:34:54.3NZ,200,0.009913,success
2026-08-27T14:34:54.3NZ,200,0.011633,success
2026-08-27T14:34:54.3NZ,200,0.011163,success
2026-08-27T14:34:54.3NZ,200,0.008533,success
2026-08-27T14:34:55.3NZ,200,0.005156,success
2026-08-27T14:34:55.3NZ,200,0.009450,success
2026-08-27T14:34:55.3NZ,200,0.009344,success
2026-08-27T14:34:55.3NZ,200,0.010873,success
2026-08-27T14:34:55.3NZ,200,0.005292,success
2026-08-27T14:34:55.3NZ,200,0.004639,success
2026-08-27T14:34:55.3NZ,200,0.004531,success
